winner,turns,win_rate
Human,38,0.0
Human,19,0.0
Human,34,0.0
Human,21,0.0
Human,16,0.0
AI,22,0.16666666666666666
AI,31,0.2857142857142857
AI,16,0.375
AI,65,0.4444444444444444
AI,22,0.5
Human,40,0.45454545454545453
Human,29,0.4166666666666667
Human,20,0.38461538461538464
Human,17,0.35714285714285715
Human,24,0.3333333333333333
Human,23,0.3125
Human,20,0.29411764705882354
AI,30,0.3333333333333333
Human,22,0.3157894736842105
AI,38,0.35
AI,25,0.38095238095238093
Human,29,0.36363636363636365
AI,15,0.391304347826087
Human,31,0.375
Human,34,0.36
AI,32,0.38461538461538464
Human,62,0.37037037037037035
AI,14,0.39285714285714285
Human,24,0.3793103448275862
Human,11,0.36666666666666664
Human,18,0.3548387096774194
Human,109,0.34375
Human,38,0.3333333333333333
AI,12,0.35294117647058826
AI,15,0.37142857142857144
Human,61,0.3611111111111111
Human,26,0.35135135135135137
AI,30,0.3684210526315789
Human,44,0.358974358974359
Human,61,0.35
AI,143,0.36585365853658536
AI,42,0.38095238095238093
AI,53,0.3953488372093023
Human,31,0.38636363636363635
Human,74,0.37777777777777777
Human,27,0.3695652173913043
AI,25,0.3829787234042553
AI,14,0.3958333333333333
Human,42,0.3877551020408163
Human,31,0.38
AI,49,0.39215686274509803
Human,11,0.38461538461538464
AI,21,0.39622641509433965
AI,50,0.4074074074074074
AI,33,0.41818181818181815
Human,13,0.4107142857142857
Human,32,0.40350877192982454
AI,20,0.41379310344827586
Human,20,0.4067796610169492
Human,25,0.4
AI,19,0.4098360655737705
Human,39,0.4032258064516129
Human,88,0.3968253968253968
Human,45,0.390625
AI,13,0.4
Human,61,0.3939393939393939
AI,65,0.40298507462686567
AI,16,0.4117647058823529
Human,44,0.4057971014492754
Human,51,0.4
Human,38,0.39436619718309857
Human,15,0.3888888888888889
AI,11,0.3972602739726027
AI,26,0.40540540540540543
Human,52,0.4
AI,52,0.40789473684210525
AI,17,0.4155844155844156
Human,19,0.41025641025641024
Human,18,0.4050632911392405
Human,51,0.4
Human,50,0.3950617283950617
Human,9,0.3902439024390244
AI,17,0.39759036144578314
AI,70,0.40476190476190477
Human,28,0.4
Human,37,0.3953488372093023
AI,33,0.40229885057471265
Human,71,0.3977272727272727
Human,58,0.39325842696629215
Human,17,0.3888888888888889
AI,39,0.3956043956043956
AI,30,0.40217391304347827
AI,53,0.40860215053763443
AI,24,0.4148936170212766
AI,78,0.42105263157894735
AI,104,0.4270833333333333
AI,57,0.4329896907216495
Human,61,0.42857142857142855
AI,31,0.43434343434343436
AI,38,0.44
Human,20,0.43564356435643564
Human,45,0.43137254901960786
AI,33,0.4368932038834951
AI,26,0.4423076923076923
AI,27,0.44761904761904764
AI,66,0.4528301886792453
AI,29,0.45794392523364486
Human,67,0.4537037037037037
AI,13,0.45871559633027525
AI,38,0.4636363636363636
Human,46,0.4594594594594595
Human,19,0.45535714285714285
AI,61,0.46017699115044247
AI,50,0.4649122807017544
AI,33,0.46956521739130436
Human,41,0.46551724137931033
Human,18,0.46153846153846156
AI,20,0.4661016949152542
AI,97,0.47058823529411764
Human,39,0.4666666666666667
AI,55,0.47107438016528924
AI,14,0.47540983606557374
AI,41,0.4796747967479675
Human,31,0.47580645161290325
AI,97,0.48
AI,24,0.48412698412698413
Human,14,0.48031496062992124
AI,74,0.484375
Human,34,0.4806201550387597
Human,19,0.47692307692307695
Human,114,0.4732824427480916
AI,60,0.4772727272727273
AI,45,0.48120300751879697
Human,55,0.47761194029850745
Human,44,0.4740740740740741
Human,27,0.47058823529411764
AI,13,0.4744525547445255
Human,27,0.47101449275362317
AI,23,0.4748201438848921
AI,68,0.4785714285714286
Human,38,0.475177304964539
AI,22,0.4788732394366197
AI,57,0.4825174825174825
Human,23,0.4791666666666667
Human,62,0.47586206896551725
Human,23,0.4726027397260274
AI,47,0.47619047619047616
AI,44,0.4797297297297297
AI,15,0.48322147651006714
Human,43,0.48
Human,72,0.4768211920529801
Human,27,0.47368421052631576
Human,46,0.47058823529411764
AI,12,0.474025974025974
AI,33,0.4774193548387097
AI,34,0.4807692307692308
Human,38,0.47770700636942676
AI,32,0.4810126582278481
AI,87,0.48427672955974843
AI,34,0.4875
AI,17,0.4906832298136646
Human,23,0.4876543209876543
AI,13,0.49079754601226994
Human,17,0.4878048780487805
Human,14,0.48484848484848486
AI,22,0.4879518072289157
AI,19,0.49101796407185627
Human,47,0.4880952380952381
Human,16,0.48520710059171596
Human,25,0.4823529411764706
AI,21,0.4853801169590643
AI,48,0.4883720930232558
AI,67,0.4913294797687861
Human,55,0.4885057471264368
AI,71,0.49142857142857144
AI,26,0.4943181818181818
Human,18,0.4915254237288136
AI,64,0.4943820224719101
AI,81,0.4972067039106145
Human,32,0.49444444444444446
AI,11,0.4972375690607735
AI,40,0.5
AI,31,0.5027322404371585
Human,85,0.5
AI,103,0.5027027027027027
AI,34,0.5053763440860215
AI,25,0.5080213903743316
AI,16,0.5106382978723404
Human,16,0.5079365079365079
AI,54,0.5105263157894737
AI,53,0.5130890052356021
Human,85,0.5104166666666666
Human,26,0.5077720207253886
AI,22,0.5103092783505154
Human,76,0.5076923076923077
AI,66,0.5102040816326531
Human,10,0.5076142131979695
Human,35,0.5050505050505051
Human,46,0.5025125628140703
Human,11,0.5
